"What (City, State) are you located in?",What's your highest level of education?,Department,How's the employee turnover?,How many years of experience do you have?,What is/was your length of orientation/training?,What is the Nurse - Patient Ratio?,What is your hourly rate ($/hr)?,What's Your Shift Length?,Which Shift?,Other,Full-Time/Part-Time?,"Do you have any special skills that set you apart from other nurses? (examples: CCRN, CNOR, Special Procedures, etc.)",Would you recommend your department to another nurse?,How did you hear about Project Nurse?,Start Date (UTC),Submit Date (UTC)
"Columbus, GA",Associates,Telemetry,High,2,2 weeks,5:01,29.10/hr,12-Hour,Night Shift,,Full-Time,"ACS, ACLS ",Yes,,3/2/17 13:06,3/2/17 13:13
"Columbus, GA",Associates,PCS-telemetry floor,High,3,0 weeks,5:01,$21/hr,12-Hour,Night Shift,,Full-Time,,No,,3/2/17 13:11,3/2/17 13:21
"Ann Arbor, MI",Bachelors,Adult Emergency Services,Medium,7,6 months for new grad ,3:01,33.1,12-Hour,Mid Shift,,Full-Time,CEN TCRN EMT-P,Yes,,3/2/17 13:31,3/2/17 13:34
Columbus GA,Bachelors,Critical care,High,20+,It's than 12hrs,5:01,$33/hr,12-Hour,Day Shift,,Full-Time,PCCN certification ,Yes,,3/2/17 13:55,3/2/17 13:59
"Mesa, AZ",Bachelors,Emergency,Medium,8,3 Shifts,4:01,35,12-Hour,Day Shift,,Full-Time,CEN,No,,3/2/17 13:56,3/2/17 13:59
"Youngstown, Ohio",Tech,Nursing,High,3,"6 weeks initial training, with additional training as requested and when moving to new units.","13:1 on vent unit, 24:1 on other units.",18/hr base.,12-Hour,Day Shift,,Full-Time,,No,,3/2/17 14:03,3/2/17 14:16
"Kansas City, KS",Bachelors,Neuro/ENT ICU ,Low,4,12 weeks,2:01,25.52,12-Hour,Night Shift,,Full-Time,"CCRN, Balloon Pump, Stroke Team",Yes,,3/2/17 14:18,3/2/17 14:28
Coon rapids mn ,Bachelors,Medical surgical ,High,20,8 weeks ,4:01,40,12-Hour,Day Shift,,Part-Time,No,Yes,,3/2/17 15:34,3/2/17 15:39
Raleigh nc,Bachelors,Labor & delivery ,Medium,5,60 days,2:01,26,12-Hour,Night Shift,,Full-Time,N/a,No,,3/2/17 15:56,3/2/17 15:59
"Chicago, il",Bachelors,Family birth place (ldrp) ,Medium,3 years,10 weeks ,1:1 labor or 1:3-4 couplets,32,12-Hour,Night Shift,,Full-Time,"RNC-OB, charge nurse, cross trained in special care NICU",Yes,,3/2/17 15:54,3/2/17 16:02
"Asheville, North Carolina ",Associates,Neurosciences,High,10,6 weeks,4:01,$29.49/hr,12-Hour,Night Shift,,Full-Time,No,Yes,,3/2/17 19:02,3/2/17 19:07
"augusta, wisonsin",Tech,,Medium,30,3 weeks,Nursing Home was 15:1,11,8-Hour,Day Shift,,Full-Time,Farmer,No,,3/2/17 19:29,3/2/17 19:32
Los Angeles CA,Bachelors,Icu,Low,17,Learned on my own from peers,2:01,76,8-Hour,Day Shift,,Full-Time,Ccrn but let it lapse,Yes,,3/2/17 19:39,3/2/17 19:43
"Birmingham, AL",Bachelors,6 ortho,Medium,1,8 weeks,7:01,22,12-Hour,Day Shift,,Full-Time,,Yes,,3/2/17 21:15,3/2/17 21:20
"Coos Bay, Oregon",Associates,Emergency,High,22,7 days - 3 months,4:01,48.9,12-Hour,Night Shift,,Full-Time,CEN,No,,3/2/17 21:30,3/2/17 21:36
Columbus ga,Bachelors,PCN,High,2,14 weeks,6:01,$22 ,12-Hour,Night Shift,,Full-Time,,No,,3/3/17 9:45,3/3/17 9:51
"Philadelphia, PA",Bachelors,TSICU,Medium,2,3 months,2:01,39.8,12-Hour,,50/50 days nights,Full-Time,,Yes,,3/3/17 16:44,3/3/17 16:47
"Houston, TX",Masters,Community Health,Medium,10,3 mths,n/a,40,8-Hour,Day Shift,,Full-Time,bilingual,Yes,,3/3/17 21:36,3/3/17 21:45
"New Bedford,MA",Associates,ER,High,16,1 month,1-May,40,12-Hour,Day Shift,,Full-Time,no,No,,3/4/17 5:07,3/4/17 5:12
New Brunswick NJ,Masters,Medsurg,Medium,7,3 months,N/A,30,8-Hour,Day Shift,,Per-Diem,No,Yes,,3/4/17 17:58,3/4/17 18:09
Thousand Oaks CA,Associates,Hemodialysis,Low,27+,3-6 months,12-Jan,$53.41 ,8-Hour,,24 hour responsibility/Management,Full-Time,CNN,Yes,,3/5/17 7:20,3/5/17 7:28
Los Angeles,Associates,MedSurge,High,8,3 weeks,5:01,36/hr,12-Hour,Day Shift,,Full-Time,CCRN,No,,3/5/17 7:29,3/5/17 7:45
"San Luis Obispo, CA",Masters,Primary care,Medium,13,5 weeks,8 patients/day,"$150,000 yr",8-Hour,Day Shift,,Full-Time,Yale trained,Yes,,3/5/17 18:33,3/5/17 18:37
Leonardtown MD,Associates,Care Coordination ,Medium,8,1 week ,260:01:00,"68,000/year ",8-Hour,Day Shift,,Full-Time,0,Yes,,3/5/17 18:48,3/5/17 18:53
"Ann Arbor, Michigan",Associates,Outpatient,Medium,20 years as RN,6 weeks for outpatient clinic,"N/A for outpatient clinic.  phone triage, patient education (one-on-one), patient visits (one-on-one)",$40.00/hour,8-Hour,Day Shift,,Full-Time,,Yes,,3/5/17 23:10,3/5/17 23:19
"Van Nuys, CA",Masters,Pediatrics ,Low,2,1 month,4:01,$32 ,12-Hour,Night Shift,,Full-Time,Masters in nursing ,Yes,,3/5/17 23:48,3/5/17 23:54
"dalton, ga",Tech,er,High,0.5,1 week,5-8:1,15/hr,12-Hour,Night Shift,,Per-Diem,Spanish,No,,3/6/17 1:21,3/6/17 1:25
"Houston, TX",Bachelors,Emergency Center,Medium,1,1 year,"4:1, 5:1",32.49/hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/6/17 2:33,3/6/17 2:35
"Houston, tx",Bachelors,PCU,Medium,1,1 month ,5:01,30,12-Hour,Day Shift,,Full-Time,I'm energetic :) ,Yes,,3/6/17 3:35,3/6/17 3:37
Boston MA ,Bachelors,ICU,High,4,1 week,2:1 or 1:2 or 1:1,$25/hr,12-Hour,Night Shift,,Traveler,Ccrn,Yes,,3/6/17 3:35,3/6/17 3:44
Houston TX,Bachelors,Trauma/Surgical ICU,Medium,8,3 months,2:01,38.48,12-Hour,Night Shift,,Full-Time,CCRN-CSC-CMC CVRNII-BC,Yes,,3/6/17 3:48,3/6/17 3:52
"Portland, OR",Bachelors,ED ,Medium,5,2 days,4:01,$2400/every other week,12-Hour,Night Shift,,Traveler,No,Yes,,3/6/17 3:53,3/6/17 3:56
"Houston, TX",Bachelors,Emergency,Medium,1,3 months,1:04,36.50/hr,12-Hour,Night Shift,,Full-Time,N/A,Yes,,3/6/17 4:06,3/6/17 4:10
"Houston, TX",Bachelors,Trauma Surgical ICU,Medium,3,6 months,2:01,$34/hour,12-Hour,Day Shift,,Full-Time,CCRN,Yes,,3/6/17 4:11,3/6/17 4:14
Texas,Bachelors,Emergency center,High,6,3 months,4:01,$35/hr,12-Hour,Night Shift,,Full-Time,None,Yes,Ben taub is the best place to learn ,3/6/17 4:14,3/6/17 4:18
"Washington, dc",Bachelors,ED,High,4,4 months,5 or 6;1,55,12-Hour,Day Shift,,,CEN,No,,3/6/17 4:33,3/6/17 4:36
"SAN Antonio, Texas ",Bachelors,Emergency room ,Medium,3,1 month ,1:04,34,12-Hour,Mid Shift,,Per-Diem,,Yes,,3/6/17 4:41,3/6/17 4:48
"San Francisco, CA",Bachelors,ICU,Medium,2,5 days,2:01,$75/hr,8-Hour,Mid Shift,,Traveler,CCRN,Yes,None at this time,3/6/17 5:00,3/6/17 5:16
"Houston, TX",Bachelors,Emergency department ,Medium,3,4 months ,4:01,"80,000/yr",12-Hour,Day Shift,,Full-Time,,Yes,Absolutely love my job,3/6/17 5:12,3/6/17 5:20
Houston,Masters,ICU,Medium,4,6 weeks,2:01,35/hour,12-Hour,Day Shift,,Per-Diem,,Yes,,3/6/17 5:23,3/6/17 5:25
"Houston, tx ",Bachelors,ER,High,4,6 weeks,5:01,34/hr,12-Hour,Night Shift,,Full-Time,,Yes,,3/6/17 5:40,3/6/17 5:44
Houston,Bachelors,ER/TSICU,Medium,2,1 year,4:01,33.30/hr,12-Hour,Night Shift,,Full-Time,CEN,Yes,,3/6/17 5:40,3/6/17 5:45
"Houston, TX",Bachelors,ED,High,5,one week,4:01,$43/hr,12-Hour,Night Shift,,Full-Time,,Yes,,3/6/17 5:46,3/6/17 5:51
"San Antonio, TX",Bachelors,ER,High,1,10 weeks,3:01,$34/hr,12-Hour,Night Shift,,Full-Time,No,Yes,No ,3/6/17 6:02,3/6/17 6:08
"Houston, TX",Bachelors,Emergency Center ,Medium,4.5,2 months ,5:01,$33.50/hr,12-Hour,Night Shift,,Full-Time,"CEN, Level 1 trauma experience ",Yes,,3/6/17 7:43,3/6/17 7:47
Houston ,Bachelors,Preop/PACU,Low,4,2weeks,4-Jan,45/hr,,Day Shift,,,,Yes,,3/6/17 8:18,3/6/17 8:23
"Houston, TX",Masters,ER,High,6,12 weeks ,1:04,48,12-Hour,Night Shift,,Full-Time,CEN ,Yes,No,3/6/17 16:16,3/6/17 16:19
Washington dc,Masters,Pre Op,High,10,2 weeks,3:01,$51/hour,10-Hour,Day Shift,,Full-Time,CEN,Yes,No,3/6/17 16:22,3/6/17 16:27
"Alhambra, CA",Tech,Clinic,High,2,3 months,Unknown,$22.00/hr,8-Hour,Day Shift,,Full-Time,,No,,3/6/17 18:10,3/6/17 18:23
"San Jose, CA",Bachelors,PICU,Low,1 year,12 weeks,1:02,$63.79/hr,8-Hour,Mid Shift,,Part-Time,PALS certified,Yes,"One thing that makes it difficult to work in my department is that the patient population is mostly Spanish speaking.  I don't speak Spanish well so it can make the patient experience difficult at times.  We have phone interperters available, but as you can imagine, that can impact the patient's experience as well as the staff's experience with assisting the family. ",3/6/17 21:04,3/6/17 21:16
"Houston, tx",Bachelors,Emergency department ,Medium,3,9 months,6:01,"60,000",12-Hour,Day Shift,,Full-Time,,Yes,,3/7/17 1:35,3/7/17 1:41
"Sunnyvale, CA",Bachelors,med/surg,High,7,1 month,5:01,$78/hr,12-Hour,Day Shift,,Part-Time,"CMSRN, RN-BC, PHN",Yes,what do you plan to do with this information?,3/7/17 2:34,3/7/17 2:38
"Houston, tx",Masters,Er,High,6 years,6 weeks,"4:1, shock rooms unlimited ratio",36.15,12-Hour,Night Shift,,Full-Time,Tncc,Yes,None,3/7/17 3:53,3/7/17 3:57
"Muncie, IN ",Bachelors,,Medium,15,1 m,1:02,34/h,8-Hour,Day Shift,,Full-Time,,No,,3/7/17 11:22,3/7/17 11:25
"Baltimore, MD",Associates,Icu,Low,1,3 months,2:01,$27 ,12-Hour,Day Shift,,Full-Time, ,Yes, ,3/7/17 14:10,3/7/17 14:13
"Houston, TX",Associates,ER,Medium,9,2 weeks,4:01,45/hr,12-Hour,Day Shift,,Full-Time,"CEN, CPEN",Yes,none,3/7/17 15:19,3/7/17 15:24
"Houston, texax",Masters,Perioperative services for cardiovascular anesthesia,Low,18,3 months,NA,64$/hr,10-Hour,Day Shift,,Full-Time,,Yes,,3/7/17 17:15,3/7/17 17:21
"Baltimore, MD",Bachelors,Imc (intermediate medical care),High,4,10 weeks,4:01,$30.50/hr,12-Hour,Day Shift,,Full-Time,N/a,Yes,N/a,3/7/17 21:23,3/7/17 21:29
"Baltimore, md",Associates,Telemetry,High,5,Three months ,6:01,30,12-Hour,Night Shift,,Full-Time,,No,,3/7/17 23:44,3/7/17 23:49
Roseville,Bachelors,NICU,Low,6,4 days,"1:1, 1:2, 1:3",71,8-Hour,Night Shift,,Part-Time,RNC ,Yes,,3/8/17 0:13,3/8/17 0:16
"las vegas, nv",Bachelors,PreOp/Pacu,Medium,5,3 months,2:01,39.75/hr,,Day Shift,,Full-Time,,Yes,,3/8/17 0:31,3/8/17 0:34
OAKLEY,Associates,SURGERY,High,3,6,1:01,36,12-Hour,Night Shift,,Full-Time,NOT REALLY - WORK HARD - SPEAK POLISH,No,\,3/8/17 5:03,3/8/17 5:08
Losangeles,Masters,Nursing,High,7,1week,none,55,8-Hour,Day Shift,,Full-Time,board certify,Yes,no,3/8/17 14:24,3/8/17 14:28
Houston,Masters,Gynecological Oncology ,High,5,3 months,1:04,"60,000/year",12-Hour,Day Shift,,Full-Time,none,No,none,3/8/17 20:26,3/8/17 20:30
Houston,Masters,Gyn,High,5,3 months,1:04,"60,000/year",12-Hour,Day Shift,,Full-Time,none,Yes,Do not like email identifier,3/8/17 20:52,3/8/17 20:56
Corona,Masters,ICU,High,7,26,1:01,"110,000 annual",12-Hour,Night Shift,,Full-Time,No,Yes,Nice people,3/9/17 2:34,3/9/17 2:38
"Las Vegas, NV",Bachelors,CVTU ,Medium,5,,"1:1, 1:2, or 1:3",39/hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/9/17 4:34,3/9/17 4:37
"Houston, Tx",Masters,E.D.,High,22,2 weeks,"1:5, 1:4",$46.00 ,12-Hour,Day Shift,,Full-Time,CEN,Yes,none,3/9/17 13:37,3/9/17 13:42
"San Mateo, CA",Masters,Behavioral Health,Medium,"Project Coordinator=3, NP=15",?,N/A,. ,,,N/A,Full-Time,,Yes,,3/9/17 19:22,3/9/17 19:36
"San Francisco, CA",Masters,Pediatric Oncology,High,5,0,5:01,62/hr ,10-Hour,Day Shift,,Full-Time,,Yes,,3/11/17 18:30,3/11/17 18:36
"Atlanta, GA",Bachelors,ER,High,20,4 weeks,4:01,43.24,12-Hour,Night Shift,,Full-Time,CEN TNCC ACLS PALS,No,No,3/12/17 7:54,3/12/17 7:58
"Brighton, MI",Associates,Internal Medicine/Peds/OB/GYn,Medium,40 years,don't remember,rarely saw patients. worked in call center triaging calls.,$32 ,8-Hour,Day Shift,,Part-Time,,Yes,,3/12/17 16:34,3/12/17 16:42
long beach ca,Masters,OB,Low,3,1 month,1:04,67.00 hr,12-Hour,Day Shift,,Full-Time,,Yes,,3/12/17 23:02,3/12/17 23:10
los angeles,Bachelors,OB,High,3,1  month,1:02,76.00/hr,8-Hour,Day Shift,,Full-Time,"L/D training, OB RNC",No,,3/12/17 23:49,3/12/17 23:53
"Long beach, CA",PhD or Higher,High risk,Medium,14,3,3,64,12-Hour,Day Shift,,Full-Time,Ultrasound certified ,Yes,No,3/13/17 0:03,3/13/17 0:08
"Los Angeles, Ca",Tech,Nursing,Low,13,7 weeks,4moms 4 babies,24,8-Hour,Day Shift,,Full-Time,No,No,No,3/12/17 23:47,3/13/17 0:20
"Bloomington, Ca",Bachelors,Labor and Delivery ,Medium,9 1/2,3 months ,2,49,12-Hour,Day Shift,,Full-Time,,Yes,,3/13/17 0:32,3/13/17 0:35
Lancaster California ,Masters,Outpatient ,Low,5,1 month,24,67,8-Hour,Day Shift,,Full-Time,FNP BC,Yes,,3/13/17 0:58,3/13/17 1:02
"Valencia, CA",Bachelors,Mental health ,Medium,5 months,1 month,6,37.43,12-Hour,Day Shift,,Full-Time,,Yes,I have 3 years RN Experience but I just started in the mental health field ,3/13/17 1:34,3/13/17 1:40
"Los Angeles, CA",Masters,Perinatal unit,Low,0-1 year,"2 week general orientation, 1 year new grad program",4-5:1,$43.00/hr,12-Hour,Day Shift,,Full-Time,"None, yet.",Yes,,3/13/17 1:42,3/13/17 1:47
"panorama city,ca",Bachelors,Labor and Delivery,Medium,18,,1:1-1 or 2,62,12-Hour,Night Shift,,Full-Time,RNC,Yes,,3/13/17 6:31,3/13/17 6:36
"Passdena, Ca",Bachelors,Maternal Child,Low,30,90 days,"1:3, 1:4",$51/hour,12-Hour,Night Shift,,Traveler,"32 years experience in labor & Delivery high risk ob Military nurse 10 yearsPlebotomist 5 years",Yes,,3/13/17 9:31,3/13/17 14:00
"Torrance, CA",Bachelors,Labor and Delivery ,Medium,11,6 months,1-4; varies based on if they are antepartum or intrapartum,$52.77/hour,12-Hour,Day Shift,,Full-Time,"RNC MNN, RNC LRN, RNC OB, C EFM, PHN, IBCLC",Yes,,3/13/17 14:08,3/13/17 14:17
Fort Worth Texas ,Associates,ICU,High,20,4 months,3 to 4,25,12-Hour,Day Shift,,Full-Time,No,No,Hostile environment ,3/13/17 18:15,3/13/17 18:21
"Los Angeles, CA",Masters,Labor & Delivery,Medium,8,3 months,2:01,50.24/hr (union-determined pay rates based on experience),12-Hour,Day Shift,,Full-Time,Fetal monitoring instructor ,Yes,,3/13/17 18:14,3/13/17 18:29
90501,Associates,Labor and Delivery,Medium,10,5 months,2-Jan,48.05,12-Hour,Night Shift,,Part-Time,"Rnc, special procedures, ",Yes,,3/14/17 0:59,3/14/17 1:05
"Mission Viejo, CA",Bachelors,Labor & Delivery,Medium,10,2 months,1:02,$45.50 ,12-Hour,Night Shift,,Full-Time,,Yes,,3/14/17 6:34,3/14/17 6:48
Philippines,Bachelors,Ward,High,1,1,100,15000 peso,8-Hour,Day Shift,,Full-Time,Phc,Yes,Good hospital,3/14/17 11:39,3/14/17 11:43
laguna beach,Bachelors,labor and delivery,Medium,25,1 week,"varies, 2:1",57.97,12-Hour,Day Shift,,Part-Time,RNC,Yes,,3/14/17 17:16,3/14/17 17:21
"Danvers, MA",Associates,,Medium,4,1-2 shifts per home case,1:1 or 1:2,$22/hr ,,,"varies, depending on shift/schedule preference",Per-Diem,,No,,3/14/17 19:57,3/14/17 20:04
Chicago suburbs,Bachelors,Emergency ,Medium,<1,1month,3:01,$35/hr,12-Hour,Day Shift,,Full-Time,"BLS, ACLS, TNCC, ENPC, PALS, ECRN",Yes,,3/15/17 0:34,3/15/17 0:39
"Chula VIsta, CA",Bachelors,ICU,Medium,9,3-4 months,2-Jan,50,12-Hour,Day Shift,,Full-Time,no,Yes,,3/15/17 3:28,3/15/17 3:33
"San Diego, CA",Bachelors,ICU,Low,6,Full year new grad program,2:01,"102,369/yr",,Day Shift,,Full-Time,CCRN,Yes,"The negative side is that ICU nurses are frequently floates to other units, not only ED but ALL other units from med-surg, PACU, SCI unit, extended care. Also, the level of acuitity seems to be decreasing and we have more ""Step down patients"" that overflow to our unit and the ratio changes to 3:1. Not too bad in my opinion though.",3/15/17 3:30,3/15/17 3:42
"Cathedral City, CA",Bachelors,Pediatric Cardiac Intensive Care Unit,Medium,6,3months,1:02,$40/hr,12-Hour,Night Shift,,Part-Time,,Yes,The shifts start at 0630 vs every other department that starts at 7. So if you float which is commonplace because it's a smaller department you have to wait even longer to start work and are expected to stay over. ,3/15/17 4:17,3/15/17 4:24
"Redlands, Ca",Masters,,High,11,None,1:03,$50/hour,10-Hour,Day Shift,,Full-Time,Certified as NPD specialist ,Yes,Work isn't always about the money. We are the only hospital in the area that hires new grads. Great family environment.!,3/15/17 5:39,3/15/17 5:47
"Oxnard, Ca",Bachelors,Labor and delivery ,Medium,2 years ,3 months ,1 to 3,$37.11 ,12-Hour,Night Shift,,Full-Time,"Also, nrp, stable ",Yes,None,3/15/17 5:45,3/15/17 5:48
"San Diego, CA",Masters,Labor and Delivery,High,1.5,6 weeks,1:2 or 1:1,41.04,12-Hour,Night Shift,,Full-Time,,No,,3/15/17 5:48,3/15/17 5:53
San Leandro ,Bachelors,Surgery,Low,4,6 months,1:01,$76/ hour,8-Hour,Mid Shift,,Full-Time,CNOR,Yes,,3/15/17 5:50,3/15/17 5:53
"Wilmington, NC",Bachelors,AISU,Medium,3,6 weeks,5-Jan,22.87,12-Hour,Night Shift,,Full-Time,,Yes,Low pay/ low pay raises,3/15/17 6:55,3/15/17 6:57
"Wilmington, NC",Associates,AISU,Medium,2,3 Months,6:01,22.44,12-Hour,Day Shift,,Full-Time,,Yes,,3/15/17 10:04,3/15/17 10:06
somerset ky ,Bachelors,medical ,High,11,2 weeks,7 sometimes 8,25.42,12-Hour,Day Shift,,Full-Time,acls ,No,run far away !!,3/15/17 10:10,3/15/17 10:16
Lancaster sc,Associates,Home care,Low,22,2 weeks,8-Jul,23/pt,,Day Shift,,Full-Time,No,Yes,Na,3/15/17 11:53,3/15/17 11:56
" Castro Valley, CA ",Bachelors,Labor & Delivery,Medium,3,8-12 weeks,1RN to 1-4 patients ,$60 ,8-Hour,Mid Shift,,Full-Time,No,Yes,,3/15/17 13:15,3/15/17 13:26
"San Jose, Ca",Bachelors,,Medium,1,6 wks,1:6 or 1:8,52,8-Hour,Night Shift,,Part-Time,,Yes,,3/15/17 13:38,3/15/17 13:41
"San Clemente, CA",Bachelors,L&D,Medium,37,2 wks,"laboring patients, 1:2","49.95 but then time and half after 4 hrs = 74.92, blended rate of $58.27",12-Hour,Day Shift,,Part-Time,Inpt OB and EFM certified,No,,3/15/17 13:50,3/15/17 14:01
"Tecumseh, michigan",Bachelors,Home care rn,Low,20,"Because I am a contract nurse, usually only a week of less",6-May,$1500.00 per week,8-Hour,Day Shift,,Full-Time,,Yes,I don't fit into the typical nurse box but answere questions as best I could,3/15/17 14:09,3/15/17 14:17
Concord CA,Bachelors,Triage,Medium,39,1 day,<10. I do phone BD drop in triage,$37 ,8-Hour,Day Shift,,Full-Time,"ACLSBilingual and bicultural Spanish",Yes,,3/15/17 14:15,3/15/17 14:21
"Overland Park,  KS ",Masters,Elementary School Nurse ,Low,3,0,1 to 500,"48,000 per year",8-Hour,Day Shift,,Full-Time,Inpatient Obstetrics certification and CPR instructor certification ,Yes,,3/15/17 18:38,3/15/17 18:42
"Kansas City, MO",Bachelors,ortho/neuro/trauma,High,almost 3,6 weeks,1:4-5,36/hr,12-Hour,Day Shift,,Per-Diem,ACLS NIHSS,Yes,no,3/15/17 18:48,3/15/17 18:51
